"com","BonNomDeVille","DeLaVille","ALaVille"
"14760","Villy-Bocage","de Villy-Bocage","à Villy-Bocage"
"14761","Vimont","de Vimont","à Vimont"
"14762","Vire Normandie","de Vire Normandie","à Vire Normandie"
"14762","Vire","de Vire","à Vire"
"14763","Vouilly","de Vouilly","à Vouilly"
"14764","Pont-d'Ouilly","de Pont-d'Ouilly","à Pont-d'Ouilly"
"15001","Allanche","d'Allanche","à Allanche"
"15002","Alleuze","d'Alleuze","à Alleuze"
"15003","Ally","d'Ally","à Ally"
"15004","Andelat","d'Andelat","à Andelat"
"15005","Anglards-de-Saint-Flour","d'Anglards-de-Saint-Flour","à Anglards-de-Saint-Flour"
"15006","Anglards-de-Salers","d'Anglards-de-Salers","à Anglards-de-Salers"
"15007","Anterrieux","d'Anterrieux","à Anterrieux"
"15008","Antignac","d'Antignac","à Antignac"
"15009","Apchon","d'Apchon","à Apchon"
"15010","Arches","d'Arches","à Arches"
"15011","Arnac","d'Arnac","à Arnac"
"15012","Arpajon-sur-Cère","d'Arpajon-sur-Cère","à Arpajon-sur-Cère"
"15013","Auriac-l'Église","d'Auriac-l'Église","à Auriac-l'Église"
"15014","Aurillac","d'Aurillac","à Aurillac"
"15015","Auzers","d'Auzers","à Auzers"
"15016","Ayrens","d'Ayrens","à Ayrens"
"15017","Badailhac","de Badailhac","à Badailhac"
"15018","Barriac-les-Bosquets","de Barriac-les-Bosquets","à Barriac-les-Bosquets"
"15019","Bassignac","de Bassignac","à Bassignac"
"15020","Beaulieu","de Beaulieu","à Beaulieu"
"15021","Boisset","de Boisset","à Boisset"
"15022","Bonnac","de Bonnac","à Bonnac"
"15024","Brageac","de Brageac","à Brageac"
"15025","Albepierre-Bredons","d'Albepierre-Bredons","à Albepierre-Bredons"
"15026","Brezons","de Brezons","à Brezons"
"15027","Puycapel","de Puycapel","à Puycapel"
"15027","Calvinet","de Calvinet","à Calvinet"
"15028","Carlat","de Carlat","à Carlat"
"15029","Cassaniouze","de Cassaniouze","à Cassaniouze"
"15030","Cayrols","de Cayrols","à Cayrols"
"15031","Celles","de Celles","à Celles"
"15032","Celoux","de Celoux","à Celoux"
"15033","Cézens","de Cézens","à Cézens"
"15034","Chaliers","de Chaliers","à Chaliers"
"15035","Chalinargues","de Chalinargues","à Chalinargues"
"15036","Chalvignac","de Chalvignac","à Chalvignac"
"15037","Champagnac","de Champagnac","à Champagnac"
"15038","Champs-sur-Tarentaine-Marchal","de Champs-sur-Tarentaine-Marchal","à Champs-sur-Tarentaine-Marchal"
"15040","Chanterelle","de Chanterelle","à Chanterelle"
"15041","La Chapelle-d'Alagnon","de La Chapelle-d'Alagnon","à La Chapelle-d'Alagnon"
"15042","La Chapelle-Laurent","de La Chapelle-Laurent","à La Chapelle-Laurent"
"15043","Charmensac","de Charmensac","à Charmensac"
"15044","Chastel-sur-Murat","de Chastel-sur-Murat","à Chastel-sur-Murat"
"15045","Chaudes-Aigues","de Chaudes-Aigues","à Chaudes-Aigues"
"15046","Chaussenac","de Chaussenac","à Chaussenac"
"15047","Chavagnac","de Chavagnac","à Chavagnac"
"15048","Chazelles","de Chazelles","à Chazelles"
"15049","Cheylade","de Cheylade","à Cheylade"
"15050","Le Claux","du Claux","au Claux"
"15051","Clavières","de Clavières","à Clavières"
"15052","Collandres","de Collandres","à Collandres"
"15053","Coltines","de Coltines","à Coltines"
"15054","Condat","de Condat","à Condat"
"15055","Coren","de Coren","à Coren"
"15056","Crandelles","de Crandelles","à Crandelles"
"15057","Cros-de-Montvert","de Cros-de-Montvert","à Cros-de-Montvert"
"15058","Cros-de-Ronesque","de Cros-de-Ronesque","à Cros-de-Ronesque"
"15059","Cussac","de Cussac","à Cussac"
"15060","Deux-Verges","de Deux-Verges","à Deux-Verges"
"15061","Dienne","de Dienne","à Dienne"
"15062","Drignac","de Drignac","à Drignac"
"15063","Drugeac","de Drugeac","à Drugeac"
"15064","Escorailles","d'Escorailles","à Escorailles"
"15065","Espinasse","d'Espinasse","à Espinasse"
"15066","Le Falgoux","du Falgoux","au Falgoux"
"15067","Le Fau","du Fau","au Fau"
"15068","Faverolles","de Faverolles","à Faverolles"
"15069","Ferrières-Saint-Mary","de Ferrières-Saint-Mary","à Ferrières-Saint-Mary"
"15070","Fontanges","de Fontanges","à Fontanges"
"15071","Fournoulès","de Fournoulès","à Fournoulès"
"15072","Freix-Anglards","de Freix-Anglards","à Freix-Anglards"
"15073","Fridefont","de Fridefont","à Fridefont"
"15074","Giou-de-Mamou","de Giou-de-Mamou","à Giou-de-Mamou"
"15075","Girgols","de Girgols","à Girgols"
"15076","Glénat","de Glénat","à Glénat"
"15077","Gourdièges","de Gourdièges","à Gourdièges"
"15078","Jabrun","de Jabrun","à Jabrun"
"15079","Jaleyrac","de Jaleyrac","à Jaleyrac"
"15080","Joursac","de Joursac","à Joursac"
"15081","Jou-sous-Monjou","de Jou-sous-Monjou","à Jou-sous-Monjou"
"15082","Junhac","de Junhac","à Junhac"
"15083","Jussac","de Jussac","à Jussac"
"15084","Labesserette","de Labesserette","à Labesserette"
"15085","Labrousse","de Labrousse","à Labrousse"
"15086","Lacapelle-Barrès","de Lacapelle-Barrès","à Lacapelle-Barrès"
"15087","Lacapelle-del-Fraisse","de Lacapelle-del-Fraisse","à Lacapelle-del-Fraisse"
"15088","Lacapelle-Viescamp","de Lacapelle-Viescamp","à Lacapelle-Viescamp"
"15089","Ladinhac","de Ladinhac","à Ladinhac"
"15090","Lafeuillade-en-Vézie","de Lafeuillade-en-Vézie","à Lafeuillade-en-Vézie"
"15091","Landeyrat","de Landeyrat","à Landeyrat"
"15092","Lanobre","de Lanobre","à Lanobre"
"15093","Lapeyrugue","de Lapeyrugue","à Lapeyrugue"
"15094","Laroquebrou","de Laroquebrou","à Laroquebrou"
"15095","Laroquevieille","de Laroquevieille","à Laroquevieille"
"15096","Lascelle","de Lascelle","à Lascelle"
"15097","Lastic","de Lastic","à Lastic"
"15098","Laurie","de Laurie","à Laurie"
"15099","Lavastrie","de Lavastrie","à Lavastrie"
"15100","Laveissenet","de Laveissenet","à Laveissenet"
"15101","Laveissière","de Laveissière","à Laveissière"
"15102","Lavigerie","de Lavigerie","à Lavigerie"
"15103","Leucamp","de Leucamp","à Leucamp"
"15104","Leynhac","de Leynhac","à Leynhac"
"15105","Leyvaux","de Leyvaux","à Leyvaux"
"15106","Lieutadès","de Lieutadès","à Lieutadès"
"15107","Lorcières","de Lorcières","à Lorcières"
"15108","Val d'Arcomie","de Val d'Arcomie","à Val d'Arcomie"
"15108","Loubaresse","de Loubaresse","à Loubaresse"
"15109","Loupiac","de Loupiac","à Loupiac"
"15110","Lugarde","de Lugarde","à Lugarde"
"15111","Madic","de Madic","à Madic"
"15112","Malbo","de Malbo","à Malbo"
"15113","Mandailles-Saint-Julien","de Mandailles-Saint-Julien","à Mandailles-Saint-Julien"
"15114","Marcenat","de Marcenat","à Marcenat"
"15115","Marchal","de Marchal","à Marchal"
"15116","Marchastel","de Marchastel","à Marchastel"
"15117","Marcolès","de Marcolès","à Marcolès"
"15118","Marmanhac","de Marmanhac","à Marmanhac"
"15119","Massiac","de Massiac","à Massiac"
"15120","Mauriac","de Mauriac","à Mauriac"
"15121","Maurines","de Maurines","à Maurines"
"15122","Maurs","de Maurs","à Maurs"
"15123","Méallet","de Méallet","à Méallet"
"15124","Menet","de Menet","à Menet"
"15125","Mentières","de Mentières","à Mentières"
"15126","Molèdes","de Molèdes","à Molèdes"
"15127","Molompize","de Molompize","à Molompize"
"15128","La Monselie","de La Monselie","à La Monselie"
"15129","Montboudif","de Montboudif","à Montboudif"
"15130","Montchamp","de Montchamp","à Montchamp"
"15131","Le Monteil","du Monteil","au Monteil"
"15132","Montgreleix","de Montgreleix","à Montgreleix"
"15133","Montmurat","de Montmurat","à Montmurat"
"15134","Montsalvy","de Montsalvy","à Montsalvy"
"15135","Montvert","de Montvert","à Montvert"
"15136","Mourjou","de Mourjou","à Mourjou"
"15137","Moussages","de Moussages","à Moussages"
"15138","Murat","de Murat","à Murat"
"15138","Murat","de Murat","à Murat"
"15139","Narnhac","de Narnhac","à Narnhac"
"15140","Naucelles","de Naucelles","à Naucelles"
"15141","Neussargues en Pinatelle","de Neussargues en Pinatelle","à Neussargues en Pinatelle"
"15141","Neussargues-Moissac","de Neussargues-Moissac","à Neussargues-Moissac"
"15142","Neuvéglise-sur-Truyère","de Neuvéglise-sur-Truyère","à Neuvéglise-sur-Truyère"
"15142","Neuvéglise","de Neuvéglise","à Neuvéglise"
"15143","Nieudan","de Nieudan","à Nieudan"
"15144","Omps","d'Omps","à Omps"
"15145","Oradour","d'Oradour","à Oradour"
"15146","Pailherols","de Pailherols","à Pailherols"
"15147","Parlan","de Parlan","à Parlan"
"15148","Paulhac","de Paulhac","à Paulhac"
"15149","Paulhenc","de Paulhenc","à Paulhenc"
"15150","Pers","de Pers","à Pers"
"15151","Peyrusse","de Peyrusse","à Peyrusse"
"15152","Pierrefort","de Pierrefort","à Pierrefort"
"15153","Pleaux","de Pleaux","à Pleaux"
"15154","Polminhac","de Polminhac","à Polminhac"
"15155","Pradiers","de Pradiers","à Pradiers"
"15156","Prunet","de Prunet","à Prunet"
"15157","Quézac","de Quézac","à Quézac"
"15158","Rageade","de Rageade","à Rageade"
"15159","Raulhac","de Raulhac","à Raulhac"
"15160","Reilhac","de Reilhac","à Reilhac"
"15161","Rézentières","de Rézentières","à Rézentières"
"15162","Riom-ès-Montagnes","de Riom-ès-Montagnes","à Riom-ès-Montagnes"
"15163","Roannes-Saint-Mary","de Roannes-Saint-Mary","à Roannes-Saint-Mary"
"15164","Roffiac","de Roffiac","à Roffiac"
"15165","Rouffiac","de Rouffiac","à Rouffiac"
"15166","Roumégoux","de Roumégoux","à Roumégoux"
"15167","Rouziers","de Rouziers","à Rouziers"
"15168","Ruynes-en-Margeride","de Ruynes-en-Margeride","à Ruynes-en-Margeride"
"15169","Saignes","de Saignes","à Saignes"
"15170","Saint-Amandin","de Saint-Amandin","à Saint-Amandin"
"15171","Sainte-Anastasie","de Sainte-Anastasie","à Sainte-Anastasie"
"15172","Saint-Antoine","de Saint-Antoine","à Saint-Antoine"
"15173","Saint-Bonnet-de-Condat","de Saint-Bonnet-de-Condat","à Saint-Bonnet-de-Condat"
"15174","Saint-Bonnet-de-Salers","de Saint-Bonnet-de-Salers","à Saint-Bonnet-de-Salers"
"15175","Saint-Cernin","de Saint-Cernin","à Saint-Cernin"
"15176","Saint-Chamant","de Saint-Chamant","à Saint-Chamant"
"15177","Saint-Christophe-les-Gorges","de Saint-Christophe-les-Gorges","à Saint-Christophe-les-Gorges"
"15178","Saint-Cirgues-de-Jordanne","de Saint-Cirgues-de-Jordanne","à Saint-Cirgues-de-Jordanne"
"15179","Saint-Cirgues-de-Malbert","de Saint-Cirgues-de-Malbert","à Saint-Cirgues-de-Malbert"
"15180","Saint-Clément","de Saint-Clément","à Saint-Clément"
"15181","Saint-Constant-Fournoulès","de Saint-Constant-Fournoulès","à Saint-Constant-Fournoulès"
"15181","Saint-Constant","de Saint-Constant","à Saint-Constant"
"15182","Saint-Étienne-Cantalès","de Saint-Étienne-Cantalès","à Saint-Étienne-Cantalès"
"15183","Saint-Étienne-de-Carlat","de Saint-Étienne-de-Carlat","à Saint-Étienne-de-Carlat"
"15184","Saint-Étienne-de-Maurs","de Saint-Étienne-de-Maurs","à Saint-Étienne-de-Maurs"
"15185","Saint-Étienne-de-Chomeil","de Saint-Étienne-de-Chomeil","à Saint-Étienne-de-Chomeil"
"15186","Sainte-Eulalie","de Sainte-Eulalie","à Sainte-Eulalie"
"15187","Saint-Flour","de Saint-Flour","à Saint-Flour"
"15188","Saint-Georges","de Saint-Georges","à Saint-Georges"
"15189","Saint-Gérons","de Saint-Gérons","à Saint-Gérons"
"15190","Saint-Hippolyte","de Saint-Hippolyte","à Saint-Hippolyte"
"15191","Saint-Illide","de Saint-Illide","à Saint-Illide"
"15192","Saint-Jacques-des-Blats","de Saint-Jacques-des-Blats","à Saint-Jacques-des-Blats"
"15194","Saint-Julien-de-Toursac","de Saint-Julien-de-Toursac","à Saint-Julien-de-Toursac"
"15195","Saint-Just","de Saint-Just","à Saint-Just"
"15196","Saint-Mamet-la-Salvetat","de Saint-Mamet-la-Salvetat","à Saint-Mamet-la-Salvetat"
"15197","Saint-Marc","de Saint-Marc","à Saint-Marc"
"15198","Sainte-Marie","de Sainte-Marie","à Sainte-Marie"
"15199","Saint-Martial","de Saint-Martial","à Saint-Martial"
"15200","Saint-Martin-Cantalès","de Saint-Martin-Cantalès","à Saint-Martin-Cantalès"
"15201","Saint-Martin-sous-Vigouroux","de Saint-Martin-sous-Vigouroux","à Saint-Martin-sous-Vigouroux"
"15202","Saint-Martin-Valmeroux","de Saint-Martin-Valmeroux","à Saint-Martin-Valmeroux"
"15203","Saint-Mary-le-Plain","de Saint-Mary-le-Plain","à Saint-Mary-le-Plain"
"15204","Saint-Paul-des-Landes","de Saint-Paul-des-Landes","à Saint-Paul-des-Landes"
"15205","Saint-Paul-de-Salers","de Saint-Paul-de-Salers","à Saint-Paul-de-Salers"
"15206","Saint-Pierre","de Saint-Pierre","à Saint-Pierre"
"15207","Saint-Poncy","de Saint-Poncy","à Saint-Poncy"
"15208","Saint-Projet-de-Salers","de Saint-Projet-de-Salers","à Saint-Projet-de-Salers"
"15209","Saint-Rémy-de-Chaudes-Aigues","de Saint-Rémy-de-Chaudes-Aigues","à Saint-Rémy-de-Chaudes-Aigues"
"15210","Saint-Rémy-de-Salers","de Saint-Rémy-de-Salers","à Saint-Rémy-de-Salers"
"15211","Saint-Santin-Cantalès","de Saint-Santin-Cantalès","à Saint-Santin-Cantalès"
"15212","Saint-Santin-de-Maurs","de Saint-Santin-de-Maurs","à Saint-Santin-de-Maurs"
"15213","Saint-Saturnin","de Saint-Saturnin","à Saint-Saturnin"
"15214","Saint-Saury","de Saint-Saury","à Saint-Saury"
"15215","Saint-Simon","de Saint-Simon","à Saint-Simon"
"15216","Saint-Urcize","de Saint-Urcize","à Saint-Urcize"
"15217","Saint-Victor","de Saint-Victor","à Saint-Victor"
"15218","Saint-Vincent-de-Salers","de Saint-Vincent-de-Salers","à Saint-Vincent-de-Salers"
"15219","Salers","de Salers","à Salers"
"15220","Salins","de Salins","à Salins"
"15221","Sansac-de-Marmiesse","de Sansac-de-Marmiesse","à Sansac-de-Marmiesse"
"15222","Sansac-Veinazès","de Sansac-Veinazès","à Sansac-Veinazès"
"15223","Sauvat","de Sauvat","à Sauvat"
"15224","La Ségalassière","de La Ségalassière","à La Ségalassière"
"15225","Ségur-les-Villas","de Ségur-les-Villas","à Ségur-les-Villas"
"15226","Sénezergues","de Sénezergues","à Sénezergues"
"15227","Sériers","de Sériers","à Sériers"
"15228","Siran","de Siran","à Siran"
"15229","Soulages","de Soulages","à Soulages"
"15230","Sourniac","de Sourniac","à Sourniac"
"15231","Talizat","de Talizat","à Talizat"
"15232","Tanavelle","de Tanavelle","à Tanavelle"
"15233","Teissières-de-Cornet","de Teissières-de-Cornet","à Teissières-de-Cornet"
"15234","Teissières-lès-Bouliès","de Teissières-lès-Bouliès","à Teissières-lès-Bouliès"
"15235","Les Ternes","des Ternes","aux Ternes"
"15236","Thiézac","de Thiézac","à Thiézac"
"15237","Tiviers","de Tiviers","à Tiviers"
"15238","Tournemire","de Tournemire","à Tournemire"
"15239","Tourniac","de Tourniac","à Tourniac"
"15240","Trémouille","de Trémouille","à Trémouille"
"15241","La Trinitat","de La Trinitat","à La Trinitat"
"15242","Le Trioulou","du Trioulou","au Trioulou"
"15243","Trizac","de Trizac","à Trizac"
"15244","Ussel","d'Ussel","à Ussel"
"15245","Vabres","de Vabres","à Vabres"
"15246","Valette","de Valette","à Valette"
"15247","Valjouze","de Valjouze","à Valjouze"
"15248","Valuéjols","de Valuéjols","à Valuéjols"
"15249","Le Vaulmier","du Vaulmier","au Vaulmier"
"15250","Vebret","de Vebret","à Vebret"
"15251","Védrines-Saint-Loup","de Védrines-Saint-Loup","à Védrines-Saint-Loup"
"15252","Velzic","de Velzic","à Velzic"
"15253","Vernols","de Vernols","à Vernols"
"15254","Veyrières","de Veyrières","à Veyrières"
"15255","Vézac","de Vézac","à Vézac"
"15256","Vèze","de Vèze","à Vèze"
"15257","Vezels-Roussy","de Vezels-Roussy","à Vezels-Roussy"
"15258","Vic-sur-Cère","de Vic-sur-Cère","à Vic-sur-Cère"
"15259","Vieillespesse","de Vieillespesse","à Vieillespesse"
"15260","Vieillevie","de Vieillevie","à Vieillevie"
"15261","Le Vigean","du Vigean","au Vigean"
"15262","Villedieu","de Villedieu","à Villedieu"
"15263","Virargues","de Virargues","à Virargues"
"15264","Vitrac","de Vitrac","à Vitrac"
"15265","Ydes","d'Ydes","à Ydes"
"15266","Yolet","d'Yolet","à Yolet"
"15267","Ytrac","d'Ytrac","à Ytrac"
"15268","Le Rouget-Pers","du Rouget-Pers","au Rouget-Pers"
"15268","Le Rouget","du Rouget","au Rouget"
"15269","Besse","de Besse","à Besse"
"16001","Abzac","d'Abzac","à Abzac"
"16002","Les Adjots","des Adjots","aux Adjots"
"16003","Agris","d'Agris","à Agris"
"16004","Aignes-et-Puypéroux","d'Aignes-et-Puypéroux","à Aignes-et-Puypéroux"
"16005","Aigre","d'Aigre","à Aigre"
"16005","Aigre","d'Aigre","à Aigre"
"16007","Alloue","d'Alloue","à Alloue"
"16008","Ambérac","d'Ambérac","à Ambérac"
"16009","Ambernac","d'Ambernac","à Ambernac"
"16010","Ambleville","d'Ambleville","à Ambleville"
"16011","Anais","d'Anais","à Anais"
"16012","Angeac-Champagne","d'Angeac-Champagne","à Angeac-Champagne"
"16013","Angeac-Charente","d'Angeac-Charente","à Angeac-Charente"
"16014","Angeduc","d'Angeduc","à Angeduc"
"16015","Angoulême","d'Angoulême","à Angoulême"
"16016","Ansac-sur-Vienne","d'Ansac-sur-Vienne","à Ansac-sur-Vienne"
"16017","Anville","d'Anville","à Anville"
"16018","Ars","d'Ars","à Ars"
"16019","Asnières-sur-Nouère","d'Asnières-sur-Nouère","à Asnières-sur-Nouère"
"16020","Aubeterre-sur-Dronne","d'Aubeterre-sur-Dronne","à Aubeterre-sur-Dronne"
"16021","Aubeville","d'Aubeville","à Aubeville"
"16023","Aunac-sur-Charente","d'Aunac-sur-Charente","à Aunac-sur-Charente"
"16023","Aunac","d'Aunac","à Aunac"
"16024","Aussac-Vadalle","d'Aussac-Vadalle","à Aussac-Vadalle"
"16025","Baignes-Sainte-Radegonde","de Baignes-Sainte-Radegonde","à Baignes-Sainte-Radegonde"
"16026","Balzac","de Balzac","à Balzac"
"16027","Barbezières","de Barbezières","à Barbezières"
"16028","Barbezieux-Saint-Hilaire","de Barbezieux-Saint-Hilaire","à Barbezieux-Saint-Hilaire"
"16029","Bardenac","de Bardenac","à Bardenac"
"16030","Barret","de Barret","à Barret"
"16031","Barro","de Barro","à Barro"
"16032","Bassac","de Bassac","à Bassac"
"16033","Bayers","de Bayers","à Bayers"
"16034","Bazac","de Bazac","à Bazac"
"16035","Beaulieu-sur-Sonnette","de Beaulieu-sur-Sonnette","à Beaulieu-sur-Sonnette"
"16036","Bécheresse","de Bécheresse","à Bécheresse"
"16037","Bellon","de Bellon","à Bellon"
"16038","Benest","de Benest","à Benest"
"16039","Bernac","de Bernac","à Bernac"
"16040","Berneuil","de Berneuil","à Berneuil"
"16041","Bessac","de Bessac","à Bessac"
"16042","Bessé","de Bessé","à Bessé"
"16043","Bignac","de Bignac","à Bignac"
"16044","Bioussac","de Bioussac","à Bioussac"
"16045","Birac","de Birac","à Birac"
"16046","Coteaux-du-Blanzacais","de Coteaux-du-Blanzacais","à Coteaux-du-Blanzacais"
"16046","Blanzac-Porcheresse","de Blanzac-Porcheresse","à Blanzac-Porcheresse"
"16047","Blanzaguet-Saint-Cybard","de Blanzaguet-Saint-Cybard","à Blanzaguet-Saint-Cybard"
"16048","Boisbreteau","de Boisbreteau","à Boisbreteau"
"16049","Bonnes","de Bonnes","à Bonnes"
"16050","Bonneuil","de Bonneuil","à Bonneuil"
"16051","Bonneville","de Bonneville","à Bonneville"
"16052","Bors (Canton de Tude-et-Lavalette)","de Bors (Canton de Tude-et-Lavalette)","à Bors (Canton de Tude-et-Lavalette)"
"16053","Bors (Canton de Charente-Sud)","de Bors (Canton de Charente-Sud)","à Bors (Canton de Charente-Sud)"
"16054","Le Bouchage","du Bouchage","au Bouchage"
"16055","Bouëx","de Bouëx","à Bouëx"
"16056","Bourg-Charente","de Bourg-Charente","à Bourg-Charente"
"16057","Bouteville","de Bouteville","à Bouteville"
"16058","Boutiers-Saint-Trojan","de Boutiers-Saint-Trojan","à Boutiers-Saint-Trojan"
"16059","Brettes","de Brettes","à Brettes"
"16060","Bréville","de Bréville","à Bréville"
"16061","Brie","de Brie","à Brie"
"16062","Brie-sous-Barbezieux","de Brie-sous-Barbezieux","à Brie-sous-Barbezieux"
"16063","Brie-sous-Chalais","de Brie-sous-Chalais","à Brie-sous-Chalais"
"16064","Brigueuil","de Brigueuil","à Brigueuil"
"16065","Brillac","de Brillac","à Brillac"
"16066","Brossac","de Brossac","à Brossac"
"16067","Bunzac","de Bunzac","à Bunzac"
"16068","Cellefrouin","de Cellefrouin","à Cellefrouin"
"16069","Cellettes","de Cellettes","à Cellettes"
"16070","Chabanais","de Chabanais","à Chabanais"
"16071","Chabrac","de Chabrac","à Chabrac"
"16072","Chadurie","de Chadurie","à Chadurie"
"16073","Chalais","de Chalais","à Chalais"
"16074","Challignac","de Challignac","à Challignac"
"16075","Champagne-Vigny","de Champagne-Vigny","à Champagne-Vigny"
"16076","Champagne-Mouton","de Champagne-Mouton","à Champagne-Mouton"
"16077","Champmillon","de Champmillon","à Champmillon"
"16078","Champniers","de Champniers","à Champniers"
"16079","Chantillac","de Chantillac","à Chantillac"
"16081","La Chapelle","de La Chapelle","à La Chapelle"
"16082","Boisné-La Tude","de Boisné-La Tude","à Boisné-La Tude"
"16082","Charmant","de Charmant","à Charmant"
"16083","Charmé","de Charmé","à Charmé"
"16084","Charras","de Charras","à Charras"
"16085","Chasseneuil-sur-Bonnieure","de Chasseneuil-sur-Bonnieure","à Chasseneuil-sur-Bonnieure"
"16086","Chassenon","de Chassenon","à Chassenon"
"16087","Chassiecq","de Chassiecq","à Chassiecq"
"16088","Chassors","de Chassors","à Chassors"
"16089","Châteaubernard","de Châteaubernard","à Châteaubernard"
"16090","Châteauneuf-sur-Charente","de Châteauneuf-sur-Charente","à Châteauneuf-sur-Charente"
"16091","Châtignac","de Châtignac","à Châtignac"
"16092","Chavenat","de Chavenat","à Chavenat"
"16093","Chazelles","de Chazelles","à Chazelles"
"16094","Chenommet","de Chenommet","à Chenommet"
"16095","Chenon","de Chenon","à Chenon"
"16096","Cherves-Châtelars","de Cherves-Châtelars","à Cherves-Châtelars"
"16097","Cherves-Richemont","de Cherves-Richemont","à Cherves-Richemont"
"16098","La Chèvrerie","de La Chèvrerie","à La Chèvrerie"
"16099","Chillac","de Chillac","à Chillac"
"16100","Chirac","de Chirac","à Chirac"
"16101","Claix","de Claix","à Claix"
"16102","Cognac","de Cognac","à Cognac"
"16103","Combiers","de Combiers","à Combiers"
"16104","Condac","de Condac","à Condac"
"16105","Condéon","de Condéon","à Condéon"
"16106","Confolens","de Confolens","à Confolens"
"16106","Confolens","de Confolens","à Confolens"
"16107","Coulgens","de Coulgens","à Coulgens"
"16108","Coulonges","de Coulonges","à Coulonges"
"16109","Courbillac","de Courbillac","à Courbillac"
"16110","Courcôme","de Courcôme","à Courcôme"
"16110","Courcôme","de Courcôme","à Courcôme"
"16111","Courgeac","de Courgeac","à Courgeac"
"16112","Courlac","de Courlac","à Courlac"
"16113","La Couronne","de La Couronne","à La Couronne"
"16114","Couture","de Couture","à Couture"
"16115","Cressac-Saint-Genis","de Cressac-Saint-Genis","à Cressac-Saint-Genis"
"16116","Criteuil-la-Magdeleine","de Criteuil-la-Magdeleine","à Criteuil-la-Magdeleine"
"16117","Curac","de Curac","à Curac"
"16118","Deviat","de Deviat","à Deviat"
"16119","Dignac","de Dignac","à Dignac"
"16120","Dirac","de Dirac","à Dirac"
"16121","Douzat","de Douzat","à Douzat"
"16122","Ébréon","d'Ébréon","à Ébréon"
"16123","Échallat","d'Échallat","à Échallat"
"16124","Écuras","d'Écuras","à Écuras"
"16125","Édon","d'Édon","à Édon"
"16126","Embourie","d'Embourie","à Embourie"
"16127","Empuré","d'Empuré","à Empuré"
"16128","Épenède","d'Épenède","à Épenède"
"16129","Éraville","d'Éraville","à Éraville"
"16130","Les Essards","des Essards","aux Essards"
"16131","Esse","d'Esse","à Esse"
"16132","Étagnac","d'Étagnac","à Étagnac"
"16133","Étriac","d'Étriac","à Étriac"
"16134","Exideuil-sur-Vienne","d'Exideuil-sur-Vienne","à Exideuil-sur-Vienne"
"16135","Eymouthiers","d'Eymouthiers","à Eymouthiers"
"16136","La Faye","de La Faye","à La Faye"
"16137","Feuillade","de Feuillade","à Feuillade"
"16138","Fléac","de Fléac","à Fléac"
"16139","Fleurac","de Fleurac","à Fleurac"
"16140","Fontclaireau","de Fontclaireau","à Fontclaireau"
"16141","Fontenille","de Fontenille","à Fontenille"
"16142","La Forêt-de-Tessé","de La Forêt-de-Tessé","à La Forêt-de-Tessé"
"16143","Fouquebrune","de Fouquebrune","à Fouquebrune"
"16144","Fouqueure","de Fouqueure","à Fouqueure"
"16145","Foussignac","de Foussignac","à Foussignac"
"16146","Garat","de Garat","à Garat"
"16147","Gardes-le-Pontaroux","de Gardes-le-Pontaroux","à Gardes-le-Pontaroux"
"16148","Genac-Bignac","de Genac-Bignac","à Genac-Bignac"
"16148","Genac","de Genac","à Genac"
"16149","Genouillac","de Genouillac","à Genouillac"
"16150","Gensac-la-Pallue","de Gensac-la-Pallue","à Gensac-la-Pallue"
"16151","Genté","de Genté","à Genté"
"16152","Gimeux","de Gimeux","à Gimeux"
"16153","Mainxe-Gondeville","de Mainxe-Gondeville","à Mainxe-Gondeville"
"16153","Gondeville","de Gondeville","à Gondeville"
"16154","Gond-Pontouvre","de Gond-Pontouvre","à Gond-Pontouvre"
"16155","Les Gours","des Gours","aux Gours"
"16156","Gourville","de Gourville","à Gourville"
"16157","Le Grand-Madieu","du Grand-Madieu","au Grand-Madieu"
"16158","Grassac","de Grassac","à Grassac"
"16160","Guimps","de Guimps","à Guimps"
"16161","Guizengeard","de Guizengeard","à Guizengeard"
"16162","Gurat","de Gurat","à Gurat"
"16163","Hiersac","d'Hiersac","à Hiersac"
"16164","Hiesse","d'Hiesse","à Hiesse"
"16165","Houlette","de Houlette","à Houlette"
"16166","L'Isle-d'Espagnac","de l'Isle-d'Espagnac","à l'Isle-d'Espagnac"
"16167","Jarnac","de Jarnac","à Jarnac"
"16168","Jauldes","de Jauldes","à Jauldes"
"16169","Javrezac","de Javrezac","à Javrezac"
"16170","Juignac","de Juignac","à Juignac"
"16171","Juillac-le-Coq","de Juillac-le-Coq","à Juillac-le-Coq"
"16172","Juillaguet","de Juillaguet","à Juillaguet"
"16173","Juillé","de Juillé","à Juillé"
"16174","Julienne","de Julienne","à Julienne"
"16175","Val des Vignes","de Val des Vignes","à Val des Vignes"
"16175","Jurignac","de Jurignac","à Jurignac"
"16176","Lachaise","de Lachaise","à Lachaise"
"16177","Ladiville","de Ladiville","à Ladiville"
"16178","Lagarde-sur-le-Né","de Lagarde-sur-le-Né","à Lagarde-sur-le-Né"
"16179","Lamérac","de Lamérac","à Lamérac"
"16180","Laprade","de Laprade","à Laprade"
"16181","Lessac","de Lessac","à Lessac"
"16182","Lesterps","de Lesterps","à Lesterps"
"16183","Lésignac-Durand","de Lésignac-Durand","à Lésignac-Durand"
