"com","BonNomDeVille","DeLaVille","ALaVille"
"01104","Chézery-Forens","de Chézery-Forens","à Chézery-Forens"
"01105","Civrieux","de Civrieux","à Civrieux"
"01106","Cize","de Cize","à Cize"
"01107","Cleyzieu","de Cleyzieu","à Cleyzieu"
"01108","Coligny","de Coligny","à Coligny"
"01109","Collonges","de Collonges","à Collonges"
"01110","Colomieu","de Colomieu","à Colomieu"
"01111","Conand","de Conand","à Conand"
"01112","Condamine","de Condamine","à Condamine"
"01113","Condeissiat","de Condeissiat","à Condeissiat"
"01114","Confort","de Confort","à Confort"
"01115","Confrançon","de Confrançon","à Confrançon"
"01116","Contrevoz","de Contrevoz","à Contrevoz"
"01117","Conzieu","de Conzieu","à Conzieu"
"01118","Corbonod","de Corbonod","à Corbonod"
"01119","Corcelles","de Corcelles","à Corcelles"
"01120","Cordieux","de Cordieux","à Cordieux"
"01121","Corlier","de Corlier","à Corlier"
"01122","Cormaranche-en-Bugey","de Cormaranche-en-Bugey","à Cormaranche-en-Bugey"
"01123","Cormoranche-sur-Saône","de Cormoranche-sur-Saône","à Cormoranche-sur-Saône"
"01124","Cormoz","de Cormoz","à Cormoz"
"01125","Corveissiat","de Corveissiat","à Corveissiat"
"01127","Courmangoux","de Courmangoux","à Courmangoux"
"01128","Courtes","de Courtes","à Courtes"
"01129","Crans","de Crans","à Crans"
"01130","Bresse Vallons","de Bresse Vallons","à Bresse Vallons"
"01130","Cras-sur-Reyssouze","de Cras-sur-Reyssouze","à Cras-sur-Reyssouze"
"01133","Cressin-Rochefort","de Cressin-Rochefort","à Cressin-Rochefort"
"01134","Crottet","de Crottet","à Crottet"
"01135","Crozet","de Crozet","à Crozet"
"01136","Cruzilles-lès-Mépillat","de Cruzilles-lès-Mépillat","à Cruzilles-lès-Mépillat"
"01137","Cuisiat","de Cuisiat","à Cuisiat"
"01138","Culoz","de Culoz","à Culoz"
"01139","Curciat-Dongalon","de Curciat-Dongalon","à Curciat-Dongalon"
"01140","Curtafond","de Curtafond","à Curtafond"
"01141","Cuzieu","de Cuzieu","à Cuzieu"
"01142","Dagneux","de Dagneux","à Dagneux"
"01143","Divonne-les-Bains","de Divonne-les-Bains","à Divonne-les-Bains"
"01144","Dommartin","de Dommartin","à Dommartin"
"01145","Dompierre-sur-Veyle","de Dompierre-sur-Veyle","à Dompierre-sur-Veyle"
"01146","Dompierre-sur-Chalaronne","de Dompierre-sur-Chalaronne","à Dompierre-sur-Chalaronne"
"01147","Domsure","de Domsure","à Domsure"
"01148","Dortan","de Dortan","à Dortan"
"01149","Douvres","de Douvres","à Douvres"
"01150","Drom","de Drom","à Drom"
"01151","Druillat","de Druillat","à Druillat"
"01152","Échallon","d'Échallon","à Échallon"
"01153","Échenevex","d'Échenevex","à Échenevex"
"01154","Étrez","d'Étrez","à Étrez"
"01155","Évosges","d'Évosges","à Évosges"
"01156","Faramans","de Faramans","à Faramans"
"01157","Fareins","de Fareins","à Fareins"
"01158","Farges","de Farges","à Farges"
"01159","Feillens","de Feillens","à Feillens"
"01160","Ferney-Voltaire","de Ferney-Voltaire","à Ferney-Voltaire"
"01162","Flaxieu","de Flaxieu","à Flaxieu"
"01163","Foissiat","de Foissiat","à Foissiat"
"01165","Francheleins","de Francheleins","à Francheleins"
"01166","Frans","de Frans","à Frans"
"01167","Garnerans","de Garnerans","à Garnerans"
"01169","Genouilleux","de Genouilleux","à Genouilleux"
"01170","Béard-Géovreissiat","de Béard-Géovreissiat","à Béard-Géovreissiat"
"01171","Géovreisset","de Géovreisset","à Géovreisset"
"01172","Germagnat","de Germagnat","à Germagnat"
"01173","Gex","de Gex","à Gex"
"01174","Giron","de Giron","à Giron"
"01175","Gorrevod","de Gorrevod","à Gorrevod"
"01176","Le Grand-Abergement","du Grand-Abergement","au Grand-Abergement"
"01177","Grand-Corent","de Grand-Corent","à Grand-Corent"
"01179","Grièges","de Grièges","à Grièges"
"01180","Grilly","de Grilly","à Grilly"
"01181","Groissiat","de Groissiat","à Groissiat"
"01182","Groslée","de Groslée","à Groslée"
"01183","Guéreins","de Guéreins","à Guéreins"
"01184","Hautecourt-Romanèche","d'Hautecourt-Romanèche","à Hautecourt-Romanèche"
"01185","Plateau d'Hauteville","de Plateau d'Hauteville","à Plateau d'Hauteville"
"01185","Hauteville-Lompnes","d'Hauteville-Lompnes","à Hauteville-Lompnes"
"01186","Hostiaz","d'Hostiaz","à Hostiaz"
"01187","Haut Valromey","de Haut Valromey","à Haut Valromey"
"01187","Hotonnes","d'Hotonnes","à Hotonnes"
"01188","Illiat","d'Illiat","à Illiat"
"01189","Injoux-Génissiat","d'Injoux-Génissiat","à Injoux-Génissiat"
"01190","Innimond","d'Innimond","à Innimond"
"01191","Izenave","d'Izenave","à Izenave"
"01192","Izernore","d'Izernore","à Izernore"
"01193","Izieu","d'Izieu","à Izieu"
"01194","Jassans-Riottier","de Jassans-Riottier","à Jassans-Riottier"
"01195","Jasseron","de Jasseron","à Jasseron"
"01196","Jayat","de Jayat","à Jayat"
"01197","Journans","de Journans","à Journans"
"01198","Joyeux","de Joyeux","à Joyeux"
"01199","Jujurieux","de Jujurieux","à Jujurieux"
"01200","Labalme","de Labalme","à Labalme"
"01202","Lagnieu","de Lagnieu","à Lagnieu"
"01203","Laiz","de Laiz","à Laiz"
"01204","Le Poizat-Lalleyriat","du Poizat-Lalleyriat","au Poizat-Lalleyriat"
"01204","Lalleyriat","de Lalleyriat","à Lalleyriat"
"01205","Lancrans","de Lancrans","à Lancrans"
"01206","Lantenay","de Lantenay","à Lantenay"
"01207","Lapeyrouse","de Lapeyrouse","à Lapeyrouse"
"01208","Lavours","de Lavours","à Lavours"
"01209","Léaz","de Léaz","à Léaz"
"01210","Lélex","de Lélex","à Lélex"
"01211","Lent","de Lent","à Lent"
"01212","Lescheroux","de Lescheroux","à Lescheroux"
"01213","Leyment","de Leyment","à Leyment"
"01214","Leyssard","de Leyssard","à Leyssard"
"01215","Surjoux-Lhopital","de Surjoux-Lhopital","à Surjoux-Lhopital"
"01215","Lhôpital","de Lhôpital","à Lhôpital"
"01216","Lhuis","de Lhuis","à Lhuis"
"01218","Lochieu","de Lochieu","à Lochieu"
"01219","Lompnas","de Lompnas","à Lompnas"
"01221","Lompnieu","de Lompnieu","à Lompnieu"
"01224","Loyettes","de Loyettes","à Loyettes"
"01225","Lurcy","de Lurcy","à Lurcy"
"01227","Magnieu","de Magnieu","à Magnieu"
"01227","Magnieu","de Magnieu","à Magnieu"
"01228","Maillat","de Maillat","à Maillat"
"01229","Malafretaz","de Malafretaz","à Malafretaz"
